Corpus	German	German	German	German	German	German	French	French	French	French	French	French	American English	American English	American English	American English	American English	American English
Painter	Pablo Picasso	Marc Chagall	Wassily Kandinsky	Henri Matisse	Paul Gauguin	Piet Mondrian	Pablo Picasso	Marc Chagall	Wassily Kandinsky	Henri Matisse	Paul Gauguin	Piet Mondrian	Pablo Picasso	Marc Chagall	Wassily Kandinsky	Henri Matisse	Paul Gauguin	Piet Mondrian
1900	2.8755488268306095e-10	1.4792074509717423e-10	1.5933678820800878e-09	1.3963413758588672e-10	2.62666999262251e-10	0.0	2.6247556905723e-10	0.0	0.0	1.742823177441899e-09	4.615932880369655e-08	1.397184729023948e-10	1.4699906569770604e-10	9.799937944476866e-11	0.0	2.4505510468064706e-10	0.0	0.0
1901	2.3004390614644877e-10	1.183365960777394e-10	1.4642514534202177e-09	1.1170731006870938e-10	1.9161479514195888e-09	0.0	2.0998045524578402e-10	0.0	0.0	8.381271110469158e-09	4.789169878449684e-08	1.1177477832191584e-10	1.1759925255816482e-10	7.839950355581493e-11	0.0	1.9604408374451765e-10	3.7922093243381025e-11	0.0
1902	1.9170325512204064e-10	9.861383006478282e-11	1.607033154697272e-09	9.308942505725781e-11	1.751519401738122e-09	0.0	4.330216740733306e-10	8.601265070555068e-11	0.0	1.068293658164817e-08	4.524253327531369e-08	9.314564860159653e-11	5.022527486501597e-10	9.049360473930198e-10	0.0	3.188521414491478e-10	4.980479223481993e-10	6.219282496407648e-11
1903	1.6431707581889198e-10	8.452614005552813e-11	1.4387539849978837e-09	2.6368191757037655e-10	2.9724301988030633e-09	0.0	3.7116143491999765e-10	7.372512917618629e-11	0.0	1.4080522375043664e-08	5.840070420910186e-08	7.983912737279703e-11	4.5557924099881575e-10	7.756594691940169e-10	0.0	2.983787205408055e-10	5.522826442204223e-10	5.330813568349413e-11
1904	7.979093576336384e-11	0.0	1.4996234095779722e-09	5.071596158907304e-10	4.737643571101862e-09	0.0	3.7116143491999765e-10	7.372512917618629e-11	0.0	2.238254074939304e-08	6.027715647251495e-08	7.983912737279703e-11	4.2138648919427217e-10	7.196598237970062e-10	4.980671430843131e-11	1.863794297467842e-10	5.522826442204223e-10	5.330813568349413e-11
1905	5.7521812709840756e-11	0.0	1.4996234095779722e-09	1.750370324872717e-09	6.5208197175259386e-09	0.0	2.913223075472006e-10	7.372512917618629e-11	0.0	2.4697909979070383e-08	6.258045599188173e-08	0.0	4.2138648919427217e-10	7.196598237970062e-10	4.980671430843131e-11	8.594568965244623e-10	8.888213776092613e-10	5.330813568349413e-11
1906	5.7521812709840756e-11	0.0	6.536368232382525e-10	3.750160118950621e-09	9.089828223451946e-09	0.0	2.2117539545872334e-10	7.372512917618629e-11	0.0	2.7614011268082905e-08	6.63667975179091e-08	0.0	4.2138648919427217e-10	7.196598237970062e-10	4.980671430843131e-11	1.2949529484432683e-09	1.1283442077506374e-09	7.508293788292621e-11
1907	1.2210717357876077e-10	0.0	6.536368232382525e-10	7.237769558291315e-09	9.855217174083362e-09	0.0	3.738654148171301e-10	7.372512917618629e-11	0.0	3.218510004541843e-08	4.9972596727343443e-08	0.0	4.818034384155925e-10	7.397988075316267e-10	1.1022366352975155e-10	2.0322021129385146e-09	2.3971002286301714e-09	7.508293788292621e-11
1908	6.969680309078439e-10	1.2774685277859377e-10	6.459857133338837e-10	8.323617795014115e-09	9.59473690181107e-09	0.0	4.498707596921138e-10	7.372512917618629e-11	0.0	3.0842633336192193e-08	4.540922964630616e-08	0.0	8.835395113950182e-10	7.397988075316267e-10	1.1022366352975155e-10	2.9313256821872358e-09	2.6569673524815383e-09	7.508293788292621e-11
