Type	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular
Past	burned	dived	dreamed	dwelled	kneeled	learned	lighted	slinked	spilled	spoiled	strived	waked	burnt	dove	dreamt	dwelt	knelt	learnt	lit	slunk	spilt	spoilt	strove	woke
1800	1.1348879070283147e-05	4.997897633529647e-07	2.4232668920376454e-06	3.41973901640813e-07	1.1051718900034757e-06	0.00010829627535713371	1.0000107749874587e-05	1.0513467874062599e-09	3.929146501491232e-07	5.3011249292467255e-06	4.213131621355615e-08	1.3381894632402691e-06	3.140732496831333e-05	4.988715318177128e-06	1.6683851242760284e-06	1.2369332807793398e-05	1.5767311936087935e-06	1.1843816537293606e-05	5.6109422530425945e-06	3.684176235196901e-07	1.655900007335731e-06	5.225577695000538e-07	5.495957225321035e-06	7.00033147893464e-07
1801	1.16202527351561e-05	4.693900109487004e-07	2.33321002269804e-06	3.125837167772261e-07	1.1487186839076458e-06	0.00011062549747293815	9.687034980743192e-06	8.410774299250079e-10	3.6503769820228624e-07	5.324577705323463e-06	4.735666223609769e-08	1.3702368960366584e-06	3.178329425281845e-05	5.005741877539549e-06	1.7319048993158503e-06	1.2529576633824035e-05	1.4349554135151267e-06	1.1892038128280546e-05	5.840913127030945e-06	3.473903063877515e-07	1.675111298027332e-06	5.019061006805714e-07	5.5038462960510515e-06	6.302347912878758e-07
1802	1.1674015240714652e-05	4.509231293544265e-07	2.2608924723499513e-06	3.2329010934972757e-07	1.2231682262608956e-06	0.00011086187926897158	9.471936815922769e-06	7.008978582708399e-10	3.649758326673691e-07	5.360463395239397e-06	5.415184212154145e-08	1.4102991485742677e-06	3.253143889499673e-05	4.97422433909378e-06	1.6894039731596422e-06	1.2697181470381716e-05	1.3766099963656113e-06	1.1731844854997083e-05	5.739588308036521e-06	3.4925670888696914e-07	1.6947500209122761e-06	5.22083747493222e-07	5.414635476578648e-06	5.935706279084721e-07
1803	1.1495591544579448e-05	4.33890534168313e-07	2.307861791450705e-06	3.3186180254623263e-07	1.2316518872726841e-06	0.0001120226942085927	9.551584818317288e-06	1.302769511316423e-09	3.4688342306513474e-07	5.379518825066043e-06	5.132986404175556e-08	1.457335819005883e-06	3.2837753159193585e-05	5.0368737772389845e-06	1.7085025254865677e-06	1.2740790225507226e-05	1.302450414186751e-06	1.1716096845962706e-05	5.7076420359538e-06	3.3340988839622045e-07	1.6948328526008742e-06	5.022563495263707e-07	5.380322038815523e-06	5.466828188868281e-07
1804	1.1176855878147762e-05	3.662266700692791e-07	2.0423769423619627e-06	3.590053389806209e-07	1.2371068903251268e-06	0.00011465911250395169	9.06829752368919e-06	1.302769511316423e-09	3.047311208449953e-07	5.5313735824061694e-06	5.398664220430354e-08	1.4173986236138653e-06	3.337279018264131e-05	4.96116282582599e-06	1.7053018837032141e-06	1.2564677100661875e-05	1.175750347621423e-06	1.1422171285500684e-05	5.693035031332069e-06	3.0277635890537826e-07	1.7572892180136738e-06	4.4294945057897296e-07	5.200928431544785e-06	3.9649767050572595e-07
1805	1.181750641470509e-05	3.4276514579037863e-07	2.0094351417096083e-06	3.8640816667014276e-07	1.3364253520973892e-06	0.00011467008152976632	9.102141120820306e-06	4.418899595443853e-09	3.1234101324376494e-07	5.8044196131439615e-06	5.411335633555479e-08	1.423146370273441e-06	3.3675724677907836e-05	5.019426290735802e-06	1.6643456969437205e-06	1.2718213578669488e-05	1.1495890086215305e-06	1.1260561612808878e-05	5.626748783730104e-06	2.8875935648946846e-07	1.8445875217106992e-06	4.4929778856125526e-07	5.1803348079764485e-06	4.0585789357854604e-07
1806	1.1608961618289218e-05	3.3078604896478024e-07	2.1207342472605106e-06	4.3543251341101754e-07	1.4512475153034238e-06	0.0001147157683070483	9.306517703017952e-06	3.818130002640276e-09	3.000656525793082e-07	5.964286499095449e-06	5.646293337641899e-08	1.4674145144713942e-06	3.388398441269861e-05	5.044880124062599e-06	1.6750537140199282e-06	1.2402114407450426e-05	1.0982909576081771e-06	1.1182193052913395e-05	5.489864504072882e-06	2.7677342424275206e-07	1.864274086723786e-06	4.302006613800456e-07	5.052949680767986e-06	3.593612924695273e-07
1807	1.1451530164257357e-05	3.2576161856923136e-07	2.2050551414005374e-06	4.90062335854548e-07	1.5522812028783456e-06	0.00011830129369627684	9.359139637256573e-06	5.701121162461829e-09	3.031253714068173e-07	6.092390062154404e-06	5.661884066349947e-08	1.5238357004169041e-06	3.505905572507929e-05	5.087195859232452e-06	1.6653705188218737e-06	1.2625344295104566e-05	9.626476022666402e-07	1.1357418640857628e-05	5.447410330816638e-06	2.6270502928582573e-07	1.9680769420509544e-06	4.354145184087039e-07	5.413144728143899e-06	3.961472186477165e-07
1808	1.1067196282965597e-05	3.120877595717632e-07	2.2804818432372746e-06	5.591715535047115e-07	1.6104260112115298e-06	0.00011773035242055942	9.427491152434544e-06	5.9364843675778294e-09	3.111550971165603e-07	6.133632658540071e-06	5.6517582233287355e-08	1.5086566561097113e-06	3.498582581024883e-05	4.942059994001673e-06	1.619139993636054e-06	1.2684641920454201e-05	9.70707463108868e-07	1.130843442557047e-05	5.032096786245737e-06	2.573382106772572e-07	1.938332778601242e-06	4.1717388756166785e-07	5.358118284805512e-06	4.0789897427982525e-07
