	Abraham Lincoln	Nelson Mandela	John F. Kennedy	Winston Churchill	Mahatma Gandhi	Charles Darwin	Albert Einstein	Jawaharlal Nehru	Vincent Van Gogh	Franklin D. Roosevelt	Thomas Edison	Rosa Parks	Lyndon Johnson	Indira Gandhi	George Orwell	Jesse Owens	Joseph Stalin	Vladimir Lenin	Ingrid Bergman	Leo Tolstoy	Pablo Picasso	Oscar Wilde	Coco Chanel	Charles de Gaulle	John M. Keynes	Louis Pasteur	Adolf Hitler	Alfred Hitchcock	Ronald Reagan	Babe Ruth	Sigmund Freud	Woodrow Wilson	Mao Zedong	Katherine Hepburn
0	1.3059389950395176e-08	2.1175481606278927e-10	1.0976411208523423e-08	1.0363663895317034e-08	1.2921666911073056e-10	2.0684805233729875e-08	5.894911598541037e-09	2.5300632224199505e-09	0.0	2.0586853848631695e-09	1.1517805518858536e-09	1.1828609520441498e-10	7.455120915441807e-10	1.4137683484222967e-10	9.560789699618916e-10	2.5299856059352825e-10	2.189851791964007e-10	8.23759076824209e-11	6.895560412350271e-11	0.0	6.907923439618863e-11	1.1366212415708787e-09	0.0	3.7630345863158357e-10	6.424525594057279e-11	1.636033848078406e-10	1.1327439145400069e-09	2.5751144391453604e-09	2.4954097121998586e-10	2.6121729184464774e-10	2.8612057960992436e-10	1.381893095984767e-09	1.1784340844414994e-09	1.4732309618268958e-11
1	1.2631769471685824e-08	2.3875161371732037e-10	1.034519612831884e-08	7.2996366411765786e-09	1.6945793974392538e-10	2.002556520608323e-08	8.398406153060328e-09	2.4930010853304754e-09	0.0	3.6070266495880077e-09	9.739612687782134e-10	1.5994677804442858e-10	7.978430247817287e-10	1.6869888819215362e-10	7.240644472883417e-10	2.3906041531272596e-10	2.189851791964007e-10	8.23759076824209e-11	5.5874177308710775e-11	6.724922999420561e-11	6.907923439618863e-11	1.0801009134705657e-09	0.0	3.7630345863158357e-10	6.424525594057279e-11	8.346228787457579e-10	1.0826790416576922e-09	2.3693374881109517e-09	2.6322934308455256e-10	2.547575285648053e-10	3.3199556199419485e-10	1.4277680783690373e-09	2.1359901942424083e-11	2.7764253198091028e-11
2	1.2498098365755693e-08	2.692241072934008e-10	8.462610992917722e-09	8.049424682354811e-09	2.018550168284402e-10	1.8484509922700454e-08	4.680015858975801e-09	2.4930010853304754e-09	0.0	3.572074977079406e-09	6.835235948671986e-10	1.5994677804442858e-10	3.852583995870137e-10	3.3067966618917563e-10	7.530073826383138e-10	1.6509445298946394e-10	2.189851791964007e-10	8.23759076824209e-11	5.5874177308710775e-11	6.724922999420561e-11	6.907923439618863e-11	2.3948531411934125e-09	0.0	4.2124662290112166e-10	6.424525594057279e-11	6.710194939379172e-10	1.1070261850067352e-09	1.8351325320464795e-09	2.3145302737884573e-10	3.7511558541909144e-10	3.3199556199419485e-10	1.4702739502072048e-09	2.1359901942424083e-11	2.7764253198091028e-11
3	1.0953350290269067e-08	1.9978963324998996e-10	8.166710038385157e-09	7.241353231332173e-09	2.4087681849138676e-10	2.013561025851881e-08	4.8136356091608795e-09	2.425308812908129e-09	0.0	3.673643912881021e-09	6.835235948671986e-10	3.0788933307641335e-10	3.852583995870137e-10	3.9675309862882303e-10	6.985588010821608e-10	2.1045598101533868e-10	2.189851791964007e-10	8.23759076824209e-11	5.5874177308710775e-11	6.724922999420561e-11	6.907923439618863e-11	2.395393482774415e-09	2.6232403154453313e-11	4.904316377610637e-10	6.424525594057279e-11	6.710194939379172e-10	1.3206251965008115e-09	1.943311791247864e-09	1.8956171156579516e-10	3.2642129872100563e-10	2.353940812113312e-10	1.441525375258022e-09	2.1359901942424083e-11	6.699640643846396e-11
4	1.0152132658345993e-08	2.2271455314891242e-10	6.70625973800806e-09	8.211848217294054e-09	1.565539999224898e-10	1.7481756867506907e-08	3.573596490153668e-09	2.3947646643485143e-09	0.0	3.5598651011119794e-09	7.278458589800505e-10	2.817345642494981e-10	4.126351433161471e-10	4.746221471396694e-10	7.402963589364653e-10	5.422598352487564e-10	2.139253853426583e-10	0.0	5.5874177308710775e-11	6.724922999420561e-11	2.7603019076798726e-11	2.4360829663029803e-09	2.6232403154453313e-11	2.9145166240735724e-10	6.424525594057279e-11	6.710194939379172e-10	1.110765971265185e-09	2.0885885818452567e-09	2.3499609004749647e-10	3.0506139677858156e-10	2.353940812113312e-10	1.7446494764745373e-09	4.801983295126583e-10	9.353348651153226e-11
5	8.552096237528822e-09	9.39706725132185e-11	8.203753422618223e-09	7.199893633672413e-09	1.565539999224898e-10	1.7080992366556658e-08	3.573596490153668e-09	1.5996131007080449e-09	0.0	5.208768131100985e-09	9.055449445849462e-10	2.829120271385932e-10	3.230854383632195e-10	6.580215063310493e-10	7.793921886846609e-10	5.703668618755359e-10	2.139253853426583e-10	0.0	3.716927063753975e-11	3.039524584405992e-10	5.383542223125204e-11	2.242880004737253e-09	2.6232403154453313e-11	2.644488199849653e-10	6.424525594057279e-11	6.710194939379172e-10	6.321114524667135e-10	1.666601628528116e-09	9.253004830598956e-10	2.8314073902928934e-10	2.353940812113312e-10	8.349526348094827e-10	4.801983295126583e-10	9.353348651153226e-11
6	8.61467189646906e-09	9.39706725132185e-11	7.588041306405557e-09	7.070943576690882e-09	1.565539999224898e-10	1.7206143684437133e-08	3.4285014311701597e-09	1.5996131007080449e-09	0.0	1.036631109523662e-08	9.055449445849462e-10	2.9641042596585873e-10	2.534203353118539e-10	5.721922499305318e-10	6.224359787508429e-10	6.102921352803468e-10	2.41528404419457e-10	0.0	3.716927063753975e-11	3.039524584405992e-10	5.383542223125204e-11	2.1507674728495273e-09	2.6232403154453313e-11	2.5086787805836e-10	6.424525594057279e-11	6.710194939379172e-10	5.550897697841656e-10	1.6373556102225857e-09	8.991457142329803e-10	2.9941862778842017e-10	2.353940812113312e-10	9.44290609991175e-10	4.5883842757023427e-10	1.3310702242800128e-10
7	1.1917338354245593e-08	9.39706725132185e-11	2.5254744644748987e-08	7.264711118385289e-09	1.565539999224898e-10	1.9082496471867216e-08	3.898969135646928e-09	8.611865744333005e-10	0.0	1.0231650273061023e-08	9.724773089977594e-10	2.9641042596585873e-10	2.4038839173203183e-10	7.113422430458729e-10	2.5728975200367543e-10	1.0676777170703922e-09	2.41528404419457e-10	0.0	1.6955435785551538e-09	8.647476147847857e-10	1.0518320936458991e-10	2.0544116051203686e-09	2.6232403154453313e-11	2.1213431408309954e-10	0.0	7.382687239321228e-10	3.495417685453869e-10	1.24148321979854e-09	9.128067409079423e-10	5.11974822655795e-10	4.5874982384270475e-11	9.44290609991175e-10	4.5883842757023427e-10	1.3310702242800128e-10
8	1.5741800498046488e-08	1.5401982467189157e-10	2.8291299525307068e-08	7.474611406012497e-09	1.1631272928929498e-10	1.5207957401334023e-08	1.5795545546140995e-09	3.2372050219014223e-09	0.0	9.126977982911098e-09	8.157832544407131e-10	2.547497431258451e-10	3.801433136528333e-10	1.1427317980761131e-09	2.5550597153906855e-10	1.1071574708619382e-09	3.9931123883642425e-10	0.0	1.6955435785551538e-09	7.9749838479058e-10	2.0472732834405808e-10	2.0073794927886824e-09	2.6232403154453313e-11	3.3840149333513077e-10	0.0	6.724922999420561e-11	1.3715166462852884e-09	1.2057260606601616e-09	9.39613563542631e-10	4.935485561907704e-10	0.0	9.882033286905718e-10	4.5883842757023427e-10	1.352198720058365e-10
9	1.648963955856532e-08	1.0997086971212663e-10	2.918465094988879e-08	7.633553979400988e-09	4.189575987721485e-10	1.4334134228783618e-08	2.4006370581895554e-09	3.2714654140437408e-09	0.0	1.0253600206994967e-08	8.631630291474782e-10	3.6937433865537525e-10	3.5398854482591805e-10	1.0677969698922952e-09	2.813165236473633e-10	1.3748918392675336e-09	4.506590259697621e-10	0.0	1.7651185751128245e-09	7.9749838479058e-10	2.0472732834405808e-10	5.386064530884685e-10	2.6232403154453313e-11	3.2988614221248925e-10	0.0	6.724922999420561e-11	1.398560093132265e-09	1.342585542740693e-09	1.3529501903729114e-09	2.5893872462878775e-10	0.0	7.684084004009963e-10	4.5883842757023427e-10	1.352198720058365e-10
